mean,std,min,max,range,rms,energy,variance,skewness,kurtosis,mean_change,max_change,filename,label
7.783331488146197,1096.8606554602013,-2729.165553,10182.26901,12911.434562999999,1096.8882704020666,1117597269088.1228,1203103.2974965824,5.686375870407973,41.80546378735774,6.5301507306636095,40.75737359999998,BR_LC_Transient_P2.csv,1
28.227036838900993,4205.76703319955,-18015.82043,22693.61872,40709.43915,4205.861755117118,16223911408564.44,17688476.337548144,0.03310528670440356,0.025539043959778684,239.56743272399285,1165.831008,BR_LC_Transient_P1.csv,1
64.44454790452342,4565.966483663815,-16981.74206,19359.50877,36341.250830000004,4566.421249698271,19709231225029.195,20848049.929941304,-0.053670241693818184,-0.2810925538183553,249.09503569682062,1058.5163620000003,BR_LC_ND_P1.csv,1
11.929747269421279,144.46177835722673,-634.4468083,431.9569321,1066.4037404,144.95352453819385,19391535754.361713,20869.205406132503,-0.24040769187687722,0.12226005414473651,6.523596662116613,38.08873600000001,BR_LC_0.47 LPS_P2.csv,1
8.602587898505178,195.34563003628492,-533.8472592,615.5268487,1149.3741079000001,195.5349577257852,36148450543.17949,38159.915174273105,-0.09140893147695657,-0.2599528886158975,6.513511832236128,37.522661369999994,BR_LC_ND_P2.csv,1
12.920720799417465,3308.3139391984437,-13301.08672,12830.64262,26131.729339999998,3308.3391702364347,11476733854269.457,10944941.120294724,0.007395276861947063,-0.13114923733230066,180.20952599101938,897.5035261999999,BR_LC_0.47 LPS_P1.csv,1
-2.239148636389541,185.82425765788463,-571.4507884,581.7241064,1153.1748948,185.8377478359005,31864334560.642067,34530.6547341039,0.1520782522478189,0.2666887684032546,6.497200192807401,39.301753070000004,BR_LC_0.18 LPS_P2.csv,1
19.77091447572474,3169.1581506385915,-13667.32962,12832.6042,26499.93382,3169.219820842067,9237012942585.734,10043563.383759018,0.013780937673934256,-0.0170893940077943,134.6906722232813,697.259137,BR_LC_0.18 LPS_P1.csv,1
12.042698998849255,195.9192640727797,-614.7959317,598.0594029,1212.8553345999999,196.28903340226748,37886367733.83971,38384.35803481959,-0.1981509427376202,-0.2893620856998944,6.554365957493392,42.940804285,BR_OL_0.18 LPS_P2.csv,1
12.322442191833513,1194.4334317374862,-3244.536072,11325.6589,14570.194972000001,1194.4969926432461,1354511672477.5762,1426671.2228521882,5.711139168588252,43.938384211196926,6.530447295261066,38.41220720000001,BR_OL_Transient_P2.csv,1
18.172259254628322,3422.9696937045114,-15205.04307,15692.99314,30898.03621,3423.01793086539,11460120244141.766,11716721.524019556,-0.0004322299271339826,-0.05885359368876664,166.62835564731603,813.4008830000002,BR_OL_0.18 LPS_P1.csv,1
18.82025229942507,4262.779337561625,-16008.88126,21236.32996,37245.21122,4262.820883246086,17426604565450.744,18171287.680742327,0.09745999696033424,0.05674033984554461,246.1193886984675,1297.583643,BR_OL_Transient_P1.csv,1
10.475157241900028,186.03483668384243,-559.5632211,786.7239913,1346.2872124,186.3295182713315,32774026149.717224,34608.96045998393,0.1865797436298403,0.21118955683640817,6.542727423265545,39.22088529999999,BR_OL_0.47 LPS_P2.csv,1
4.078345553111942,3990.2154949291285,-15864.4601,15586.08715,31450.54725,3990.217579139634,14615895469507.979,15921819.69597251,-0.03585286144107177,-0.24132213151720583,244.36184944569825,1117.4454252,BR_OL_0.47 LPS_P1.csv,1
1.1965856737233234,182.25436799385943,-579.6993045,565.3888098,1145.0881143000001,182.2582960254915,30821933020.680367,33216.654652841135,-0.03802125680742309,-0.13038166900302883,6.514111034695642,41.08084481,BR_OL_ND_P2.csv,1
-254.46307948420974,4529.3633192223115,-17433.96745,19730.73735,37164.7048,4536.50565262925,18892106707638.594,20515132.077516552,0.14596733079126886,-0.0058575241962692814,174.9264654174933,1020.837724,BR_OL_ND_P1.csv,1
20.647197196352476,136.4167287223225,-511.7703486,469.0752545,980.8456031000001,137.97039764878838,19037201207.16996,18609.523875299725,-0.09726040887365005,0.18653271244944358,6.522458325168859,47.631136969999986,BR_CC_0.47 LPS_P2.csv,1
23.72573976546768,3475.278768420771,-14827.60283,13631.12979,28458.732620000002,3475.3597553294558,12098936039077.719,12077562.518236192,-0.0006547178576652184,-0.13530554731518096,184.0589101149517,948.8314758,BR_CC_0.47 LPS_P1.csv,1
